Borough,PrimaryUse,OpenSpaceArea_m2
Wandsworth,Nature reserve,613448.0
Wandsworth,Park,1440885.5
Wandsworth,Play space,1605.0
Wandsworth,Playing fields,254112.5
Wandsworth,Public woodland,20627.0
Wandsworth,Railway cutting,117922.0
Wandsworth,Recreation ground,20367.0
Wandsworth,River,1786486.05
Wandsworth,Road island/verge,4096.0
Wandsworth,Walking/cycling route,17930.0
Westminster,Amenity green space,11746.0
Westminster,Canal,133174.12
Westminster,Cemetery/churchyard,37471.0
Westminster,Civic/market square,110659.0
Westminster,Formal garden,208705.0
Westminster,Landscaping around premises,8686.0
Westminster,Other hard surfaced areas,26289.0
Westminster,Other recreational,22484.0
Westminster,Park,3077234.0
Westminster,Play space,9518.0
Westminster,Recreation ground,106359.0
Westminster,River,1638124.38
Westminster,Road island/verge,38541.0
