"SiteName","SiteID","PrimaryUse","Borough","AreaHa","Easting","Northing","Qualifier","DataSource","DataVersion","ReleaseDate","Copyright"
"Brunswick Park Rough & Adjacent Waste Ground","OS_Ba_0051","Park","Barnet",8.7642,528404,193763,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Manor Drive Recreation Ground","OS_Ba_0201","Recreation ground","Barnet",8.4190,528007,192816,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Marlborough Avenue Green","OS_Ba_0202","Amenity green space","Barnet",0.4014,529061,193430,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"New Southgate Cemetery","OS_Ba_0239","Cemetery/churchyard","Barnet",20.8803,528603,193321,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Playing Field by Library on Osidge Lane","OS_Ba_0272","Playing fields","Barnet",0.3197,528330,194014,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Pymme's Brook at Brunswick Park","OS_Ba_0426","Park","Barnet",9.9835,528655,193714,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Arnos Park","OS_En_0021","Park","Enfield",16.6062,529471,192762,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Broomfield Park","OS_En_0057","Park","Enfield",21.4269,530384,192760,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Christ Church at Southgate","OS_En_0091","Cemetery/churchyard","Enfield",0.2961,529668,193411,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Conway Road Recreation Ground","OS_En_0104","Recreation ground","Enfield",0.9212,530313,193283,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Grovelands Park","OS_En_0185","Park","Enfield",37.0188,530658,194383,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"High Road Open Space","OS_En_0197","Park","Enfield",0.5498,528954,192180,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"New River  (Enfield) - South section","OS_En_0269","River","Enfield",7.2680,531274,192771,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"New Southgate Millenium Green","OS_En_0277","Park","Enfield",0.5820,528927,192058,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Pymmes Brook","OS_En_0311","River","Enfield",4.7752,531454,192393,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Southgate Cemetery","OS_En_0367","Cemetery/churchyard","Enfield",5.4636,529390,193518,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Grove Road Open Space","OS_En_0498","Amenity green space","Enfield",0.2209,528842,192380,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Highview Gardens","OS_En_0501","Amenity green space","Enfield",0.0934,529314,192263,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Pruden Close Amenity Space","OS_En_0526","Amenity green space","Enfield",0.0484,529431,193735,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Burnt Oak Brook","OS_Ba_0053","Park","Barnet",14.1353,520611,191318,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Cherry Tree Wood","OS_Ba_0060","Park","Barnet",5.4171,527569,189056,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Chesterfield Rd Green","OS_Ba_0062","Amenity green space","Barnet",1.0287,523728,195477,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Childs Hill Park","OS_Ba_0063","Park","Barnet",2.9523,524787,186914,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Chipping Barnet Cemetery","OS_Ba_0064","Cemetery/churchyard","Barnet",3.3215,523595,195966,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Church Hill Rd Green","OS_Ba_0069","Amenity green space","Barnet",0.2440,527664,194632,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Clitterhouse Playing Fields","OS_Ba_0070","Playing fields","Barnet",16.7597,523786,187126,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Colindale Avenue Recreation Ground and Library Field","OS_Ba_0075","Recreation ground","Barnet",2.1158,521366,189800,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Coppetts Rd Recreation Ground","OS_Ba_0080","Recreation ground","Barnet",2.3544,528089,190764,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Coppetts Wood Nature Reserve","OS_Ba_0081","Nature reserve","Barnet",13.8007,527691,191566,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Copthall Playing Fields and Stadium","OS_Ba_0083","Playing fields","Barnet",50.4382,522892,190816,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Dollis Brook Open Spaces","OS_Ba_0106","Playing fields","Barnet",70.0894,525127,194663,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Dollis Valley Way Green","OS_Ba_0107","Amenity green space","Barnet",0.7367,524769,195652,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"East End Road Sports Ground","OS_Ba_0112","Playing fields","Barnet",2.8474,525430,190226,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"East Finchley Cemetery","OS_Ba_0114","Cemetery/churchyard","Barnet",15.6672,525897,189593,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Edgwarebury Park","OS_Ba_0121","Park","Barnet",15.8305,518981,193317,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Elm Park","OS_Ba_0123","Park","Barnet",0.3059,525132,186445,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Finchley Cricket Club","OS_Ba_0126","Playing fields","Barnet",2.2043,525702,190095,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Finchley Way Open Space","OS_Ba_0128","Amenity green space","Barnet",0.6915,525227,191475,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Folly Brook","OS_Ba_0129","Nature reserve","Barnet",12.9521,524505,193078,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Friary Park","OS_Ba_0130","Park","Barnet",9.1258,527313,192681,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Glebelands Nature Reserve","OS_Ba_0135","Nature reserve","Barnet",5.6981,526830,191001,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Golders Hill Park (Hampstead Heath)","OS_Ba_0138","Park","Barnet",14.9296,525637,186932,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Heybourne Park","OS_Ba_0139","Park","Barnet",4.7000,521434,190687,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Greenhill Gardens","OS_Ba_0143","Park","Barnet",1.6355,525851,195517,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Hadley Green","OS_Ba_0144","Amenity green space","Barnet",9.7554,524623,197348,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Hampstead Heath Extension","OS_Ba_0150","Playing fields","Barnet",30.1572,525923,187722,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Hendon Cemetery","OS_Ba_0154","Cemetery/churchyard","Barnet",16.5436,523889,190846,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Hendon Park","OS_Ba_0160","Park","Barnet",10.9951,523367,188456,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Highlands Gardens","OS_Ba_0168","Formal garden","Barnet",0.9837,525547,195950,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Holy Trinity Church","OS_Ba_0170","Cemetery/churchyard","Barnet",0.3110,526598,189709,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Ingleway Green","OS_Ba_0172","Amenity green space","Barnet",1.0708,527060,191716,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"King George's Field (Barnet)","OS_Ba_0176","Playing fields","Barnet",35.4064,525060,196866,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Little Wood","OS_Ba_0185","Public woodland","Barnet",1.1561,525342,189020,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Long Lane Pasture","OS_Ba_0187","Nature reserve","Barnet",1.1048,526077,190249,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Long Mead Green","OS_Ba_0189","Amenity green space","Barnet",0.3191,521603,191005,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Lyndhurst Park","OS_Ba_0192","Park","Barnet",2.8669,521191,191732,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Malcolm Park","OS_Ba_0198","Park","Barnet",1.9132,522197,188640,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Mallard Close Green","OS_Ba_0199","Amenity green space","Barnet",0.3835,526746,194980,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Meadway Green and Potters Lane Scrub and High Barnet Station","OS_Ba_0206","Amenity green space","Barnet",5.5297,525132,196165,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Mill Hill Cemetery","OS_Ba_0211","Cemetery/churchyard","Barnet",6.9730,523155,191819,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Mill Hill Green","OS_Ba_0216","Park","Barnet",0.6858,521556,192426,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Mill Hill Park East","OS_Ba_0218","Park","Barnet",14.9712,522012,191921,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Mill Hill Park West","OS_Ba_0219","Park","Barnet",4.3840,521782,191696,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Moat Mount Open Space","OS_Ba_0227","Playing fields","Barnet",119.1261,521509,194306,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Monken Hadley Common","OS_Ba_0228","Common","Barnet",72.9155,526177,197183,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Monken Hadley War Memorial Green","OS_Ba_0229","Amenity green space","Barnet",0.8301,525159,197481,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Dollis Valley Green Walk","OS_Ba_0235","Park","Barnet",8.6141,524816,189266,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Northfield Rd Playing Field","OS_Ba_0253","Playing fields","Barnet",3.0324,527513,196614,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Oak Hill Wood","OS_Ba_0255","Nature reserve","Barnet",9.9068,527908,195122,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Oak Lane Green","OS_Ba_0256","Amenity green space","Barnet",0.2161,526650,190306,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Old Court House Recreation Ground","OS_Ba_0263","Recreation ground","Barnet",2.0891,524454,196292,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Princes Park","OS_Ba_0276","Park","Barnet",1.4222,524398,188523,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Pymme's Brook","OS_Ba_0277","River","Barnet",2.6255,526964,196617,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Ravenscroft Gardens","OS_Ba_0283","Formal garden","Barnet",1.1315,523988,196453,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"River Brent (Barnet)","OS_Ba_0286","River","Barnet",6.6064,523632,188326,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Rowley Green Common","OS_Ba_0287","Nature reserve","Barnet",5.9117,521716,196101,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Rushdene Ave Green","OS_Ba_0292","Amenity green space","Barnet",0.1919,527443,194741,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"School Park","OS_Ba_0296","Playing fields","Barnet",7.6126,522482,192138,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Scratch Wood","OS_Ba_0297","Public woodland","Barnet",49.0372,520199,194837,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Southover Sports Ground","OS_Ba_0304","Recreation ground","Barnet",2.9596,525500,192943,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"St Marks Church","OS_Ba_0313","Cemetery/churchyard","Barnet",0.1518,525666,196480,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"St Mary's Church (Barnet)","OS_Ba_0316","Cemetery/churchyard","Barnet",0.3698,527711,194564,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"St Mary's Churchyard (Barnet)","OS_Ba_0317","Cemetery/churchyard","Barnet",0.6505,522904,189590,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"St Pancras & Islington Cemetery","OS_Ba_0319","Cemetery/churchyard","Barnet",60.6608,527217,190707,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"St Paul's Churchyard","OS_Ba_0320","Cemetery/churchyard","Barnet",0.7168,522594,192833,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Stonegrove Park","OS_Ba_0324","Park","Barnet",2.9569,518961,192184,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Sunny Hill Park","OS_Ba_0330","Park","Barnet",21.7774,522742,190118,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Swan Lane open Space","OS_Ba_0332","Park","Barnet",3.6396,526188,193351,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Thornfield Avenue Allotments","OS_Ba_0341","Allotments","Barnet",0.5469,524280,190827,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Totteridge Green","OS_Ba_0347","Park","Barnet",4.7646,525051,193675,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Tudor Sports Ground","OS_Ba_0359","Recreation ground","Barnet",9.3745,526100,196907,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Victoria Recreation Ground (Barnet)","OS_Ba_0365","Recreation ground","Barnet",5.6690,526667,196456,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Glebelands Open Space","OS_Ba_0380","Playing fields","Barnet",9.4235,526825,191230,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Victoria Park (Barnet)","OS_Ba_0390","Park","Barnet",7.1548,525847,191052,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Village Rd Green","OS_Ba_0392","Amenity green space","Barnet",0.5936,524234,190369,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Wansford Park Playing Field","OS_Outside_0021","Playing fields","Outside Greater London",1.4923,521104,196475,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"West Hendon Estate","OS_Ba_0398","Amenity green space","Barnet",1.5572,521832,187958,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"West Hendon Playing Fields","OS_Ba_0399","Playing fields","Barnet",29.8113,521373,187933,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Willifield Way Green","OS_Ba_0405","Amenity green space","Barnet",0.2950,525052,188896,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Woodcroft Park","OS_Ba_0408","Park","Barnet",5.7036,521453,191403,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Woodfield Park","OS_Ba_0409","Park","Barnet",8.2877,521418,187412,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Cricklewood Play Area","OS_Ba_0416","Play space","Barnet",0.5033,523765,185955,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Lyttelton Playing Fields","OS_Ba_0417","Playing fields","Barnet",8.4459,526375,188766,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Northway Gardens","OS_Ba_0418","Formal garden","Barnet",3.0924,525771,188968,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Montrose Playing Fields","OS_Ba_0419","Playing fields","Barnet",10.8321,520805,190212,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Silkstream Park","OS_Ba_0420","Park","Barnet",4.4787,520503,190494,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Rushgrove Park","OS_Ba_0421","Park","Barnet",3.8241,521790,189233,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Barnet Gate Wood","OS_Ba_0422","Public woodland","Barnet",4.0928,521566,194814,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Oak Hill Park","OS_Ba_0423","Park","Barnet",25.7112,527774,194786,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Dollis Brook","OS_Ba_0425","River","Barnet",20.3412,524859,191312,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
